item,itemLabel,itemDescription,gender,genderLabel,dob,dobPrecision,dod,dodPrecision
Q4661996,Aaron Farrugia,Maltese economist,Q6581097,male,1980-01-01,11,,
Q168387,Agatha Barbara,Maltese politician (1923-2002),Q6581072,female,1923-03-11,11,2002-02-04,11
Q1710630,Alex Sceberras Trigona,Maltese politician and university teacher,Q6581097,male,1950-03-03,11,,
Q559545,Alfred Sant,"Maltese writer, editor, politician",Q6581097,male,1948-02-28,11,,
Q250177,Anton Buttigieg,Maltese politician and poet (1912-1983),Q6581097,male,1912-02-19,11,1983-05-05,11
Q37861279,Anton Refalo,Maltese politician,Q6581097,male,1956-01-01,9,,
Q781090,Austin Gatt,Maltese politician,Q6581097,male,1953-07-29,11,,
Q37861044,Byron Camilleri,Maltese politician,Q6581097,male,,,,
Q5043368,Carmelo Abela,Maltese politician,Q6581097,male,1972-02-10,11,,
Q1043584,Carmelo Mifsud Bonnici,Maltese politician (born 1960),Q6581097,male,1960-02-17,11,,
Q5080619,Charles Mangion,politician,Q6581097,male,1952-11-14,11,,
Q18206002,Chris Fearne,Maltese physician and politician,Q6581097,male,1963-03-12,11,,
Q2668705,Christopher Said,Maltese politician,Q6581097,male,1970-07-10,11,,
Q37861005,Clayton Bartolo,Maltese politician,Q6581097,male,1987-06-02,11,,
Q102423681,Clint Camilleri,Maltese member of the Parliamentary,Q6581097,male,1988-02-24,11,,
Q108384543,Clyde Caruana,Maltese politician,Q6581097,male,1985-02-21,11,,
Q108443118,Count Jacques de Liedekerke,Minister of foreign affairs for Malta,Q6581097,male,,,,
Q167307,Dom Mintoff,Maltese politician (1916-2012),Q6581097,male,1916-08-06,11,2012-08-20,11
Q152511,Eddie Fenech Adami,Maltese politician,Q6581097,male,1934-02-07,11,,
Q173958,Edward Scicluna,Maltese politician,Q6581097,male,1946-10-12,11,,
Q37861343,Edward Zammit Lewis,Maltese politician,Q6581097,male,1973-06-21,11,,
Q5373281,Emmanuel Mallia,Maltese lawyer and politician,Q6581097,male,1950-01-01,7,,
Q989815,Enrico Mizzi,Prime Minister of Malta (1950),Q6581097,male,1885-09-20,11,1950-12-20,11
Q5416069,Evarist Bartolo,Maltese politician,Q6581097,male,1952-10-14,11,,
Q335387,Francesco Buhagiar,Prime Minister of Malta (1876-1934),Q6581097,male,1876-09-07,11,1934-06-27,11
Q16545829,Francis Zammit Dimech,Maltese politician,Q6581097,male,1954-10-23,11,,
Q108384981,Gavin Gulia,Maltese politician,Q6581097,male,1963-01-01,9,,
Q1507005,George Bonello Dupuis,politician (1927-2010),Q6581097,male,1927-01-01,9,2010-02-18,11
Q983140,George Borg Olivier,Maltese politician and attorney (1911-1980),Q6581097,male,1911-07-05,11,1980-10-29,11
Q1508402,George William Vella,Maltese politician,Q6581097,male,1942-04-24,11,,
Q333979,"Gerald Strickland, 1st Baron Strickland",Maltese-British politician (1861-1940),Q6581097,male,1861-05-24,11,1940-08-22,11
Q16008191,Giovanni Felice,minister,Q6581097,male,1899-01-21,11,1977-03-16,11
