item,itemLabel,position,positionLabel,start,end,cabinet,cabinetLabel,ordinal,replaces,replacesLabel,replacedBy,replacedByLabel,nature,natureLabel,source,sourceName,statedName,psid
Q4661996,Aaron Farrugia,Q108265790,"Minister for the Environment, Climate Change and Planning",2020-01-15,,,,,,,,,,,https://www.gov.mt/en/Government/Government%20of%20Malta/Ministries%20and%20Entities/Pages/default.aspx,"Dr Aaron Farrugia BCom(Hons) Finance, MA (European), LLD, MP","MINISTER FOR THE ENVIRONMENT, CLIMATE CHANGE AND PLANNING",Q4661996-763D0212-BE89-49C5-9D1C-830EC48F4848
Q168387,Agatha Barbara,Q30107297,Minister for Education and Employment,1955-01-01,1958-01-01,,,,,,,,,,,,,Q168387-2c7708b0-46f8-3fd3-5402-a2cd74a2f967
Q168387,Agatha Barbara,Q30107297,Minister for Education and Employment,1971-01-01,1976-01-01,,,,,,,,,,,,,Q168387-bc4c12ab-4c8a-277f-4583-c52f00be83c0
Q1710630,Alex Sceberras Trigona,Q25713883,Minister for Foreign Affairs,1981-12-20,1987-05-12,,,3,Q167307,Dom Mintoff,Q167937,Ċensu Tabone,,,,,,Q1710630-77A1A771-F9A2-4C38-9FCA-79A4A6DD234A
Q559545,Alfred Sant,Q152814,Prime Minister of Malta,1996-10-28,1998-09-06,,,11,Q152511,Eddie Fenech Adami,Q152511,Eddie Fenech Adami,,,,,,Q559545-7ED75BEE-9596-4D43-848C-E487C9863494
Q250177,Anton Buttigieg,Q108265741,Minister for Justice and Governance,1971-06-21,1976-10-15,,,3,Q108384518,Tommaso Caruana Demajo,Q18536886,Ġużè Cassar,,,,,,Q250177-E757A01A-D03C-482C-8A58-E7565FA358D4
Q37861279,Anton Refalo,Q109689827,"Minister for Agriculture, Fisheries, Food and Animal Rights",2020-01-21,,,,,,,,,,,https://www.gov.mt/en/Government/Government%20of%20Malta/Ministries%20and%20Entities/Pages/default.aspx,"Dr Anton Refalo LLD, MP","MINISTER FOR AGRICULTURE, FISHERIES, FOOD AND ANIMAL RIGHTS",Q37861279-2524EFFC-DF48-408E-B078-8D161653D561
Q781090,Austin Gatt,Q108265741,Minister for Justice and Governance,1998-09-08,2003-04-15,,,11,Q108384981,Gavin Gulia,Q58176,Tonio Borg,,,,,,Q781090-A09B3F7D-3ABF-4CD8-BE30-E6FE2A73088A
Q37861044,Byron Camilleri,Q108266345,Minister for Home Affairs,2020-01-15,,,,,,,,,,,https://www.gov.mt/en/Government/Government%20of%20Malta/Ministries%20and%20Entities/Pages/default.aspx,"Dr Byron Camilleri LLB, Dip Not Pub, LLD, MP","MINISTER FOR HOME AFFAIRS, NATIONAL SECURITY AND LAW ENFORCEMENT",Q37861044-D57F9218-69B9-4451-898E-D2871C0E80D7
Q5043368,Carmelo Abela,Q25713883,Minister for Foreign Affairs,2017-06-09,2020-01-15,,,13,Q1508402,George William Vella,Q5416069,Evarist Bartolo,,,,,,Q5043368-BC5E9B76-13F0-4E11-9D77-0F0D42E0D11C
Q5043368,Carmelo Abela,Q108266345,Minister for Home Affairs,2014-12-09,2017-06-09,,,,Q5373281,Emmanuel Mallia,Q37861149,Michael Farrugia,,,,,,Q5043368-85EE0F62-0D26-4522-8CED-4773D61F7DB8
